id,item_name,description,category,sub-category,price,weight
145,Tinderbox,"This small container holds flint, fire steel, and tinder (usually dry cloth soaked in light oil) used to kindle a fire. Using it to light a torch -- or anything else with abundant, exposed fuel -- takes an action. Lighting any other fire takes 1 minute.",Adventuring Gear,default,0.5,0.45
146,Torch,"A torch burns for 1 hour, providing bright light in a 20-foot radius and dim light for an additional 20 feet. If you make a melee attack with a burning torch and hit, it deals 1 fire damage.",Adventuring Gear,default,0.01,0.45
147,Vial,A vial can hold 4 ounces of liquid.,Adventuring Gear,default,1.0,NULL
148,Waterskin (full),A waterskin can hold 4 pints of liquid.,Adventuring Gear,default,0.2,2.27
149,Whetstone,A standard whetstone used to sharpen blades.,Adventuring Gear,default,0.01,0.45
150,Alchemist's Supplies,"Alchemist's supplies enable a character to produce useful concoctions, such as acid or alchemist's fire.  Crafting alchemical items can be done by using materials worth half the price of purchasing the item.",Tools and Kits,Artisan's Tools,50.0,3.63
151,Brewer's Supplies,"Brewing is the art of producing beer and other alcoholic beverages. These supplies also allow for the purification and treatment of water, making it safe to drink. Crafting beer takes weeks of fermentation, but only a few hours of work.",Tools and Kits,Artisan's Tools,20.0,4.08
152,Calligrapher's Supplies,"Calligraphy treats writing as a delicate, beautiful art. Calligraphers produce text that is pleasing to the eye, using a style that is difficult to forge. Their supplies also give them some ability to examine scripts and determine if they are legitimate, since a calligrapher's training involves long hours of studying writing and attempting to replicate its style and design.",Tools and Kits,Artisan's Tools,10.0,2.27
153,Carpenter's Tools,"Skill at carpentry enables a character to construct wooden structures. A carpenter can build a house, a shack, a wooden cabinet, or similar items.",Tools and Kits,Artisan's Tools,8.0,2.72
154,Cartographer's Tools,"Using cartographer's tools, you can create accurate maps to make travel easier for yourself and those who come after you. These maps can range from large-scale depictions of mountain ranges to diagrams that show the layout of a dungeon level.",Tools and Kits,Artisan's Tools,15.0,2.72
155,Cobbler's Tools,"Although the cobbler's trade might seem too humble for an adventurer, a good pair of boots will see a character across rugged wilderness and through deadly dungeons.",Tools and Kits,Artisan's Tools,5.0,2.27
156,Cook's Utensils,"Adventuring is a hard life. With a cook along on the journey, your meals will be much better than the typical mix of hardtack and dried fruit.",Tools and Kits,Artisan's Tools,1.0,3.63
157,Glassblower's Tools,Someone proficient with glassblower's tools has not only the ability to shape glass but also specialized knowledge of the methods used to produce glass objects.,Tools and Kits,Artisan's Tools,30.0,2.27
158,Jeweler's Tools,Training with jeweler's tools includes the basic techniques needed to beautify gems. It also gives you expertise in identifying precious stones.,Tools and Kits,Artisan's Tools,25.0,0.91
159,Leatherworker's Tools,Knowledge of leatherworking extends to lore concerning animal hides and their properties. It also confers knowledge of leather armor and similar goods.,Tools and Kits,Artisan's Tools,5.0,2.27
160,Mason's Tools,"Mason's tools allow you to craft stone structures, including walls and buildings crafted from brick.",Tools and Kits,Artisan's Tools,10.0,3.63
161,Painter's Supplies,"Proficiency with painter's supplies represents your ability to paint and draw. You also acquire an understanding of art history, which can aid you in examining works of art.",Tools and Kits,Artisan's Tools,10.0,2.27
162,Potter's Tools,"Potter's tools are used to create a variety of ceramic objects, most typically pots and similar vessels.",Tools and Kits,Artisan's Tools,10.0,1.36
163,Smith's Tools,"Smith's tools allow you to work metal, beating it to alter its shape, repair damage, or work raw ingots into useful items.",Tools and Kits,Artisan's Tools,20.0,3.63
164,Tinker's Tools,"A set of tinker's tools is designed to enable you to repair many mundane objects. Though you can't manufacture much with tinker's tools, you can mend torn clothes, sharpen a worn sword, and patch a tattered suit of chain mail.",Tools and Kits,Artisan's Tools,50.0,4.54
165,Weaver's Tools,Weaver's tools allow you to create cloth and tailor it into articles of clothing.,Tools and Kits,Artisan's Tools,1.0,2.27
166,Woodcarver's Tools,"Woodcarver's tools allow you to craft intricate objects from wood, such as wooden tokens or arrows.Woodcarver's tools consist of a knife, a gouge, and a small saw.: Your expertise lends you additional insight when you examine wooden objects, such as figurines or arrows.: Your knowledge of wooden objects gives you some added insight when you examine trees.: As part of a short rest, you can repair a single damaged wooden object.: As part of a short rest, you can craft up to five arrows. As part of a long rest, you can craft up to twenty. You must have enough wood on hand to produce them.DC 10 - Craft a small wooden figurineDC 15 - Carve an intricate pattern in wood",Tools and Kits,Artisan's Tools,1.0,2.27
167,Disguise Kit,"The perfect tool for anyone who wants to engage in trickery, a disguise kit enables its owner to adopt a false identity.A disguise kit includes cosmetics, hair dye, small props, and a few pieces of clothing.: In certain cases, a disguise can improve your ability to weave convincing lies.: The right disguise can make you look more fearsome, whether you want to scare someone away by posing as a plague victim or intimidate a gang of thugs by taking the appearance of a bully.: A cunning disguise can enhance an audience's enjoyment of a performance, provided the disguise is properly designed to evoke the desired reaction.: Folk tend to trust a person in uniform. If you disguise yourself as an authority figure, your efforts to persuade others are often more effective.: As part of a long rest, you can create a disguise. It takes you 1 minute to don such a disguise once you have created it. You can carry only one such disguise on you at a time without drawing undue attention, unless you have a bag of holding or a similar method to keep them hidden. Each disguise weighs 1 pound.At other times, it takes 10 minutes to craft a disguise that involves moderate changes to your appearance, and 30 minutes for one that requires more extensive changes.DC 10 - Cover injuries or distinguishing marksDC 15 - Spot a disguise being used by someone elseDC 20 - Copy a humanoid's appearance",Tools and Kits,default,25.0,1.36
168,Forgery Kit,"A forgery kit is designed to duplicate documents and to make it easier to copy a person's seal or signature.A forgery kit includes several different types of ink, a variety of parchments and papers, several quills, seals and sealing wax, gold and silver leaf, and small tools to sculpt melted wax to mimic a seal.: A forgery kit can be used in conjunction with the Arcana skill to determine if a magic item is real or fake.: A well-crafted forgery, such as papers proclaiming you to be a noble or a writ that grants you safe passage, can lend credence to a lie.: A forgery kit combined with your knowledge of history improves your ability to create fake historical documents or to tell if an old document is authentic.: When you examine objects, proficiency with a forgery kit is useful for determining how an object was made and whether it is genuine.: Knowledge of other tools makes your forgeries that much more believable. For example, you could combine proficiency with a forgery kit and proficiency with cartographer's tools to make a fake map.: As part of a short rest, you can produce a forged document no more than one page in length. As part of a long rest, you can produce a document that is up to four pages long. Your Intelligence check using a forgery kit determines the DC for someone else's Intelligence (Investigation) check to spot the fake.DC 15 - Mimic handwritingDC 20 - Duplicate a wax seal",Tools and Kits,default,15.0,2.27
169,Bagpipes,A woodwind instrument using enclosed reeds fed from a constant reservoir of air in the form of a bag.,Tools and Kits,Musical Instruments,30.0,2.72
170,Birdpipes,"Pan pipes or satyr pipes, also known as the shalm, these are sacred to Lliira and popular with wood elf and wild elf bards.DC 10 - Identify a tuneDC 20 - Improvise a tune",Tools and Kits,Musical Instruments,12.0,0.91
171,Drum,"A musical percussion instrument consisting of a hollow, usually cylindrical, body covered at one or both ends with a tightly stretched membrane, or head, which is struck with the hand, a stick, or a pair of sticks, and typically produces a booming, tapping, or hollow sound.DC 10 - Identify a tuneDC 20 - Improvise a tune",Tools and Kits,Musical Instruments,6.0,1.36
172,Dulcimer,A stringed musical instrument in which the strings are beaten with small hammers rather than plucked.DC 10 - Identify a tuneDC 20 - Improvise a tune,Tools and Kits,Musical Instruments,25.0,4.54
173,Flute,A musical wind instrument consisting of a tube with a series of finger holes or keys.DC 10 - Identify a tuneDC 20 - Improvise a tune,Tools and Kits,Musical Instruments,2.0,0.45
174,Glaur,"Short, curved horns like a cornucopia. Played with valves, glaur sound like trumpets, while those without valves, known as gloon, have a more mournful sound.DC 10 - Identify a tuneDC 20 - Improvise a tune",Tools and Kits,Musical Instruments,3.0,0.91
175,Hand Drum,A double-headed skin drum fitted with handles along its side.DC 10 - Identify a tuneDC 20 - Improvise a tune,Tools and Kits,Musical Instruments,6.0,1.36
176,Horn,"A musical instruments made of a tube, usually made of metal and often curved in various ways, with one narrow end into which the musician blows, and a wide end from which sound emerges.DC 10 - Identify a tuneDC 20 - Improvise a tune",Tools and Kits,Musical Instruments,3.0,0.91
177,Longhorn,"A FaerÃ»nian flute of sophisticated make, found only in areas with skilled artisans, as in great cities or elven enclaves.DC 10 - Identify a tuneDC 20 - Improvise a tune",Tools and Kits,Musical Instruments,2.0,0.45
178,Lute,"A stringed musical instrument having a long, fretted neck and a hollow, typically pear or oval-shaped body with a vaulted back.DC 10 - Identify a tuneDC 20 - Improvise a tune",Tools and Kits,Musical Instruments,35.0,0.91
179,Lyre,A stringed instrument of the harp class having an approximately U-shaped frame and used by the ancient Greeks especially to accompany song and recitation.DC 10 - Identify a tuneDC 20 - Improvise a tune,Tools and Kits,Musical Instruments,30.0,0.91
180,Pan Flute,"A musical instrument composed of numerous pipes, lined in a row. The pipes are either of different length or are blocked at different points. The instrument is played by blowing into the pipes.DC 10 - Identify a tuneDC 20 - Improvise a tune",Tools and Kits,Musical Instruments,12.0,0.91
181,Shawm,"A medieval form of the oboe. A shawm is a wind instrument with a conical bore and flaring bell, and is played by blowing through a double reed.DC 10 - Identify a tuneDC 20 - Improvise a tune",Tools and Kits,Musical Instruments,2.0,0.45
182,Songhorn,"A recorder, a simple type of flute, usually carved from wood.DC 10 - Identify a tuneDC 20 - Improvise a tune",Tools and Kits,Musical Instruments,2.0,0.45
183,Tantan,"A tambourine, a popular instrument with halflings and humans south of the Dalelands.DC 10 - Identify a tuneDC 20 - Improvise a tune",Tools and Kits,Musical Instruments,6.0,1.36
184,Thelarr,"Also known as a whistlecane, a simple and easy-to-make wind instrument cut from a reed. They are so simple, in fact, that skilled bards frequently make and give them away to children â€” to the parentsâ€™ delight or regret.DC 10 - Identify a tuneDC 20 - Improvise a tune",Tools and Kits,Musical Instruments,2.0,0.45
185,Tocken,"A hanging set of carved oval bells, usually played with a pair of light wooden hammers (or open handed). They are most common in underground cultures, where the resonant tones can carry.DC 10 - Identify a tuneDC 20 - Improvise a tune",Tools and Kits,Musical Instruments,6.0,1.36
186,Viol,"A string instrument that is played with a bow. A viol differs from the violin in having deeper ribs, sloping shoulders, a greater number of strings, usually six, and frets.DC 10 - Identify a tuneDC 20 - Improvise a tune",Tools and Kits,Musical Instruments,30.0,0.45
187,Wargong,"A metal gong, traditionally made from a shield, particularly the shield of an enemy. Both goblins and dwarves make and play wargongs, their sound echoing through tunnels in the Underdark.DC 10 - Identify a tuneDC 20 - Improvise a tune",Tools and Kits,Musical Instruments,30.0,2.72
188,Yarting,A southern instrument from Amn and Calimshan that is a FaerÃ»nian analog to the guitar. Numerous variations have spread across the continent.DC 10 - Identify a tuneDC 20 - Improvise a tune,Tools and Kits,Musical Instruments,35.0,0.91
189,Zulkoon,"A complex pump organ that originated with the zulkirs of Thay, who use it in the casting of their spells. It is considered to have a dramatic, but sinister, sound.DC 10 - Identify a tuneDC 20 - Improvise a tune",Tools and Kits,Musical Instruments,30.0,2.72
190,Navigator's Tools,"Proficiency with navigator's tools helps you determine a true course based on observing the stars. It also grants you insight into charts and maps while developing your sense of direction.Navigator's tools include a sextant, a compass, calipers, a ruler, parchment, ink, and a quill.: Knowledge of navigator's tools helps you avoid becoming lost and also grants you insight into the most likely location for roads and settlements.: By taking careful measurements, you can determine your position on a nautical chart and the time of day.DC 10 - Plot a courseDC 15 - Discover your position on a nautical chart",Tools and Kits,default,25.0,0.91
191,Poisoner's Kit,"A poisoner's kit is a favored resource for thieves, assassins, and others who engage in skulduggery. It allows you to apply poisons and create them from various materials. Your knowledge of poisons also helps you treat them.A poisoner's kit includes glass vials, a mortar and pestle, chemicals, and a glass stirring rod.: Your training with poisons can help you when you try to recall facts about infamous poisonings.: Your knowledge of poisons has taught you to handle those substances carefully, giving you an edge when you inspect poisoned objects or try to extract clues from events that involve poison.: When you treat the victim of a poison, your knowledge grants you added insight into how to provide the best care to your patient.: Working with poisons enables you to acquire lore about which plants and animals are poisonous.: Your proficiency allows you to handle and apply a poison without risk of exposing yourself to its effects.DC 10 - Spot a poisoned objectDC 20 - Determine the effects of a poison",Tools and Kits,default,50.0,0.91
192,Thieves' Tools,"Perhaps the most common tools used by adventurers, thieves' tools are designed for picking locks and foiling traps. Proficiency with the tools also grants you a general knowledge of traps and locks.Thieves' tools include a small file, a set of lock picks, a small mirror mounted on a metal handle, a set of narrow-bladed scissors, and a pair of pliers.: Your knowledge of traps grants you insight when answering questions about locations that are renowned for their traps.: You gain additional insight when looking for traps, because you have learned a variety of common signs that betray their presence.: Just as you can disable traps, you can also set them. As part of a short rest, you can create a trap using items you have on hand. The total of your check becomes the DC for someone else's attempt to discover or disable the trap. The trap deals damage appropriate to the materials used in crafting it (such as poison or a weapon) or damage equal to half the total of your check, whichever the DM deems appropriate.",Tools and Kits,default,25.0,0.45
193,Bit and Bridle,NULL,"Tack, Harness & Drawn Vehicles",default,2.0,0.45
194,Carriage,A four-wheeled passenger vehicle pulled by one or more horses.,"Tack, Harness & Drawn Vehicles",default,100.0,272.16
195,Cart,"A heavy, usually horse-drawn, 2-wheeled vehicle used for farming or transporting freight.","Tack, Harness & Drawn Vehicles",default,15.0,90.72
196,Chariot,NULL,"Tack, Harness & Drawn Vehicles",default,250.0,45.36
197,Feed (per day),NULL,"Tack, Harness & Drawn Vehicles",default,0.05,4.54
198,Exotic Saddle,An exotic saddle is required for riding any aquatic or flying mount.,"Tack, Harness & Drawn Vehicles",Saddle,60.0,18.14
199,Military Saddle,"A military saddle braces the rider, helping stay seated on an active mount in battle. It gives a creature advantage on any check they make to remain mounted.","Tack, Harness & Drawn Vehicles",Saddle,20.0,13.61
200,Pack Saddle,NULL,"Tack, Harness & Drawn Vehicles",Saddle,5.0,6.8
201,Riding Saddle,NULL,"Tack, Harness & Drawn Vehicles",Saddle,10.0,11.34
202,Saddlebags,"Saddle bags, come with two large pouches, one on each side of the animal.","Tack, Harness & Drawn Vehicles",default,4.0,3.63
203,Sled,NULL,"Tack, Harness & Drawn Vehicles",default,30.0,136.08
204,Wagon,"A four-wheeled vehicle, usually drawn by horse or oxen, primarily used for carrying goods. Most wagons are pulled by a single horse, although 2 horses can pull a wagon as well.","Tack, Harness & Drawn Vehicles",default,35.0,181.44
205,"Barding, Padding (Light)","Barding is armor designed to protect an animalâ€™s head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.","Tack, Harness & Drawn Vehicles",Barding,20.0,7.26
206,"Barding, Leather (Light)","Barding is armor designed to protect an animalâ€™s head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.","Tack, Harness & Drawn Vehicles",Barding,40.0,9.07
207,"Barding, Studded Leather (Light)","Barding is armor designed to protect an animalâ€™s head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.","Tack, Harness & Drawn Vehicles",Barding,180.0,11.79
208,"Barding, Hide (Medium)","Barding is armor designed to protect an animalâ€™s head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.","Tack, Harness & Drawn Vehicles",Barding,40.0,10.89
209,"Barding, Chain Shirt (Medium)","Barding is armor designed to protect an animal's head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.","Tack, Harness & Drawn Vehicles",Barding,200.0,18.14
210,"Barding, Scale Mail (Medium)","Barding is armor designed to protect an animal's head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.","Tack, Harness & Drawn Vehicles",Barding,200.0,40.82
211,"Barding, Breastplate (Medium)","Barding is armor designed to protect an animal's head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.","Tack, Harness & Drawn Vehicles",Barding,1600.0,18.14
212,"Barding, Half Plate (Medium)","Barding is armor designed to protect an animal's head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.","Tack, Harness & Drawn Vehicles",Barding,3000.0,36.29
213,"Barding, Ring Mail (Heavy)","Barding is armor designed to protect an animal's head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.","Tack, Harness & Drawn Vehicles",Barding,120.0,36.29
214,"Barding, Chain Mail (Heavy)","Barding is armor designed to protect an animal's head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.","Tack, Harness & Drawn Vehicles",Barding,300.0,49.9
215,"Barding, Splint (Heavy)","Barding is armor designed to protect an animal's head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.","Tack, Harness & Drawn Vehicles",Barding,800.0,54.43
216,"Barding, Full Plate (Heavy)","Barding is armor designed to protect an animal's head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.","Tack, Harness & Drawn Vehicles",Barding,6000.0,58.97
217,"Clothes, Cold Weather","This outfit consists of a heavy fur coat or cloak over layers of wool clothing, as well as a fur-lined hat or hood, goggles, and fur-lined leather boots and gloves.",Adventuring Gear,default,10.0,2.27
218,Crampons (2),A crampon is a metal plate with spikes that is strapped to the sole of a boot. A creature wearing crampons can't fall prone while moving across slippery ice.,Adventuring Gear,default,2.0,0.11
219,Ghillie Suit,"This suit is made of loose strips of green cloth, often looking like moss or grass from a distance. It is used by hunters when lying in wait in natural environments. Wearing the suit allows you to try to hide when you are only lightly obscured by foliage and cannot be worn with other clothing or armor.",Adventuring Gear,default,50.0,1.81
220,Snowshoes,Snowshoes reduce the likelihood of their wearer getting stuck in the deep snow.,Adventuring Gear,default,2.0,1.81
221,Swimming Gear,"This consists of a snorkel, crude goggles, flippers, and occasionally a skintight suit. It grants advantage on Strength (Athletics) checks made while swimming and cannot be worn with other clothing or armor.",Adventuring Gear,default,15.0,2.27
222,Herbalism Kit,"Proficiency with an herbalism kit allows you to identify plants and safely collect their useful elements.An herbalism kit includes pouches to store herbs, clippers and leather gloves for collecting plants, a mortar and pestle, and several glass jars.: Your knowledge of the nature and uses of herbs can add insight to your magical studies that deal with plants and your attempts to identify potions.: When you inspect an area overgrown with plants, your proficiency can help you pick out details and clues that others might miss.: Your mastery of herbalism improves your ability to treat illnesses and wounds by augmenting your methods of care with medicinal plants.: When you travel in the wild, your skill in herbalism makes it easier to identify plants and spot sources of food that others might overlook.: You can identify most plants with a quick inspection of their appearance and smell.DC 15 - Find plantsDC 20 - Identify Poison",Tools and Kits,default,5.0,1.36
223,"Book, Common, Soft Bound",NULL,Adventuring Gear,default,8.0,1.81
224,"Book, Common, Hard Bound",NULL,Adventuring Gear,default,10.0,2.27
225,"Book, Uncommon, Soft Bound",NULL,Adventuring Gear,default,15.0,1.81
226,"Book, Uncommon, Hard Bound",NULL,Adventuring Gear,default,20.0,2.27
227,"Book, Rare, Soft Bound",NULL,Adventuring Gear,default,30.0,1.81
228,"Book, Rare, Hard Bound",NULL,Adventuring Gear,default,50.0,2.27
229,Hollow Book,"A hollow book has the covers and spine of a normal tome and blends in with other books on a shelf. Its pages, however, are glued together and their middles cut out (usually leaving a half-inch border of paper) to form a space.",Adventuring Gear,default,5.0,1.81
230,"Journal, Soft Bound, 25 Sheets","An empty, hard bound journal containing 25 pages.",Adventuring Gear,default,7.0,2.27
231,Bowstring (5),NULL,Adventuring Gear,default,2.0,NULL
232,Meat Stick,NULL,Menu - Breakfast Options,Commoner,0.03,NULL
233,Roasted Locusts,NULL,Menu - Breakfast Options,Commoner,0.03,NULL
234,Cheese Omelet,NULL,Menu - Breakfast Options,Commoner,0.04,NULL
235,Ham & Cheese on Rye,NULL,Menu - Breakfast Options,Commoner,0.05,NULL
236,Bacon & Egg Sandwich,NULL,Menu - Breakfast Options,Merchant,0.3,NULL
237,"Omelet ""Your Way""",NULL,Menu - Breakfast Options,Merchant,0.3,NULL
238,Bloodhawk Eggs,NULL,Menu - Breakfast Options,Merchant,0.4,NULL
239,Bacon Stuffed Bread,NULL,Menu - Breakfast Options,Merchant,0.5,NULL
240,Frittata & Herbs,NULL,Menu - Breakfast Options,Noble,1.0,NULL
241,Bacon & Owlbear Eggs,NULL,Menu - Breakfast Options,Noble,2.0,NULL
242,Boar Ham Steak & Eggs,NULL,Menu - Breakfast Options,Noble,2.0,NULL
243,Truffle Omelet,NULL,Menu - Breakfast Options,Noble,3.0,NULL
244,Stockpot Stew/ Soup,NULL,Menu - Lunch Options,Commoner,0.04,NULL
245,"""Adventurer's"" Steak",NULL,Menu - Lunch Options,Commoner,0.04,NULL
246,Minced Pork,NULL,Menu - Lunch Options,Commoner,0.05,NULL
247,Roast Goat & Cheese,NULL,Menu - Lunch Options,Commoner,0.06,NULL
248,Roast Lamb & Cheese,NULL,Menu - Lunch Options,Merchant,0.4,NULL
249,Boar Tenderloin,NULL,Menu - Lunch Options,Merchant,0.5,NULL
250,Baked Goose Breast,NULL,Menu - Lunch Options,Merchant,0.5,NULL
251,Grilled Salmon,NULL,Menu - Lunch Options,Merchant,0.6,NULL
252,Rack of Lamb,NULL,Menu - Lunch Options,Noble,2.0,NULL
253,Shellfish Platter,NULL,Menu - Lunch Options,Noble,3.0,NULL
254,Dragon Turtle Soup,NULL,Menu - Lunch Options,Noble,4.0,NULL
255,Roc Meat Tar Tar,NULL,Menu - Lunch Options,Noble,5.0,NULL
256,Pigeon Pot Pie,NULL,Menu - Dinner Options,Commoner,0.05,NULL
257,'Tashaâ€™s Hideous Stew',NULL,Menu - Dinner Options,Commoner,0.05,NULL
258,Rabbit and Potato Plate,NULL,Menu - Dinner Options,Commoner,0.06,NULL
259,Hunter's Pie,NULL,Menu - Dinner Options,Merchant,0.4,NULL
260,Bloodhawk Breast,NULL,Menu - Dinner Options,Merchant,0.5,NULL
261,Crocodile Steak,NULL,Menu - Dinner Options,Merchant,0.5,NULL
262,Roasted Bullywug Legs,NULL,Menu - Dinner Options,Merchant,0.6,NULL
263,Buffalo Ribeye,NULL,Menu - Dinner Options,Noble,2.0,NULL
264,Sahuagin Caviar,NULL,Menu - Dinner Options,Noble,3.0,NULL
265,Owlbear Steak & Eggs,NULL,Menu - Dinner Options,Noble,4.0,NULL
266,[Color] Dragon Steak,NULL,Menu - Dinner Options,Noble,5.0,NULL
267,Coffee (cup),NULL,Drinks,Non-Alcoholic Beverages,0.05,NULL
268,"Goodberry ""Wine""",NULL,Drinks,Non-Alcoholic Beverages,0.1,NULL
269,Fruit Juice (Varies),NULL,Drinks,Non-Alcoholic Beverages,0.05,NULL
270,Milk (Local Variety),NULL,Drinks,Non-Alcoholic Beverages,0.02,NULL
271,Abbey Red Wine,This red wine comes from a variety of abbeys and monasteries that produce wine to help support their way of life. Each of these wines is slightly different and most consumers have a particular abbey they prefer.,Drinks,Wine,0.2,NULL
272,Bloodwine,"This very hearty wine is deep red in color and is said to be made from grapes grown over battlefields. Unknown to the public, it is actually made from raisins.",Drinks,Wine,0.2,NULL
273,Clarry Wine,"This is a generic table wine, often water down, then sweetened with honey.",Drinks,Wine,0.1,NULL
274,Evermead,"This elven mead is always brewed exactly the same and in secret. Every cup of this golden shimmering liquid tastes exactly the same; it is the perfect mix of sweetness, spice, and smoke. Rumor states that the mead is aged for one hundred years before ready for drinking. It is also rumored that elves on every Plane of Existence brew evermead exactly the same..",Drinks,Wine,11.0,NULL
275,Far Ridge Red,This is a sweet dessert wine that is more rose than red colored. This wine claims to use a secret mix of grapes from all over the world. Those with a refined palate say the peculiar taste is just sugar covering up the water.,Drinks,Wine,0.1,NULL
276,Fire Wine,This extremely strong and spicy wine is reputed to have medicinal qualities..,Drinks,Wine,0.1,NULL
277,Glowfire,This is a pale chartreuse wine with very faint luminescence in darkness. This wine has a strong pear taste.,Drinks,Wine,0.2,NULL
278,Highdusk Dark,This sweet spicy wine is almost black in color and has a very high alcohol content..,Drinks,Wine,1.0,NULL
279,Mead Wine,Mead is only made with honey and it is easily fouled and hard to make. The price reflects the difficulty making it and it is definitely an acquired taste. Intoxication DC 9.,Drinks,Wine,0.1,NULL
280,Redwood Dry,Very dry red fortified wine with a strong wood and berry taste.,Drinks,Wine,0.1,NULL
281,Special Vat,"This pale fortified red wine causes the lips and tongue to go slightly numb and tingly. It tastes like grapes, strawberries, and raspberries.",Drinks,Wine,0.2,NULL
282,Table Wine,"The only thing fouler than generic watered down table wine, purchased in bulk, are cooking wines. But for those looking for intoxication over cost or taste, table wine will work just fine..",Drinks,Wine,0.06,NULL
283,Temple-Under-Rock,This is a very rare fortified wine on the surface and it is imported from a variety of underdark sources. It is always kept in opaque ceramic vessels as it quickly loses taste and its signature green glow if exposed to any light. This wine is rumored to be made of mushrooms that have never seen daylight.,Drinks,Wine,0.4,NULL
284,Topaz,"This is a yellow to amber colored wine, slightly dry and balanced, with a nutty flavor.",Drinks,Wine,0.2,NULL
285,Spiced Wine,This is a catch-all label for a wide variety of spiced or mulled wine made by different regions and city-states. The price listed is the average price.,Drinks,Wine,0.1,NULL
286,Westgate Ruby,This is a bold crimson wine with a slightly bitter taste and is one of the most commonly found wines considered acceptable to serve to one's guests.,Drinks,Wine,0.1,NULL
287,Winter Wine,This fortified wine is usually only available in the summer when the passes to the frigid polar regions are open for trade. This pale purple-blue wine is very strong and very sweet.,Drinks,Wine,0.2,NULL
288,Absinthe,"A licorice flavored liquor, with a clear green tint. To serve correctly, the bartender places a spoon over a filled glass of absinthe, with the sugar cube on it, underneath one of the taps on the fountain. Water slowly drips onto the sugar until it has dissolved.",Drinks,Liquor,2.0,NULL
289,Cherry Fire,"A cherry liquor with a strong, spicy kick.",Drinks,Liquor,0.2,NULL
290,Death Wish,This liquor is pale yellow and is always served with a mouse skull. It smells of sunflower oil.,Drinks,Liquor,1.0,NULL
291,Elquestria,This is the generic name given to elven liquors that are made for export by non-elven distributors. These weak liquors vary per region but most are gins that smell like a forest after a heavy rain.,Drinks,Liquor,3.0,NULL
292,Elverquis,This rare and expensive liquor is said to be distilled from sunlight and rare berries. This drink is often used sparingly in various elven rituals and is rarely exported. It is always stored in glass bottle/jug..,Drinks,Liquor,56.0,NULL
293,Fireball,This is a cinnamon schnapps that is hard to get used to. It was originally marketed for spellcasters to drink but it never really caught on. Its sits on most bar shelves as a gimmick more than anything else.,Drinks,Liquor,1.0,NULL
294,Flindmaker,"This clear liquor smells vaguely of rotten eggs and was originally made by gnolls. Certain barbarian tribes and hill giant clans began to drink it as a right of passage. It has gained prominence as the drink to start a celebration, ""because everything else will taste better.""",Drinks,Liquor,1.0,NULL
295,Hog Piss,"This eloquently named swill is one of the cheapest liquors known. It tastes terrible, causes horrendous hangovers, and is very widely distributed or made ""out back.""",Drinks,Liquor,0.02,NULL
296,Kumis,"This is fermented horse milk. It isnâ€™t terribly rare but is not purchased very often outside of certain regions. The taste of this weak liquor is very ""acquired.""",Drinks,Liquor,0.4,NULL
297,Seawine,This potent grain alcohol is not wine and not made from grapes. It is similar to a very potent grain alcohol distilled from starches found in saltwater swamps and coastal regions. The taste is said to be rather terrible but seawine is not drunk for its taste; it is drunk for its incredible potency. This stuff is very flammable.,Drinks,Liquor,0.2,NULL
298,Shasta,"This is a cheap sake that is not distilled but brewed. Grain alcohol and other extracts have been added to it to the point where it is barely sake anymore. This is what a merchant might drink when pretending to have taste. If nothing else, shasta is very potent..",Drinks,Liquor,0.2,NULL
299,Vodka,"A clear liquor, traditionally made by distilling the liquid from cereal grains that have been fermented. Rarer vodka uses potatoes or fruits as the base. The price listed is for medium quality vodka. The very best vodka can cost 20 times as much.",Drinks,Liquor,1.0,NULL
300,White Eye Whiskey,"This whiskey has recently hit the market and is stamped with a large blind eye. The literature says it's brewed by the famous pirate, White Eye, who no one has ever heard of. But one thing is for certain; this perfectly aged and smokey whiskey is one of the best whiskeys being made now: at this price it should be.",Drinks,Liquor,3.0,NULL
301,Zzar,This is technically a heavily fortified sherry wine. It is said to taste better in salty air and has become the liquor of choice among sea pirates and merchants..,Drinks,Liquor,1.5,NULL
302,Bitter Black,"1 mug. This is a very dark stout exported from Arabel, a fortified city in northern Cormyr (Faerun). This heavy beer tasted best when served at cellar temperatures. Arabellans looked down upon anyone drinking it at a different temperature. Bitter Black had a dark black color with a thick head of deep brown foam..",Drinks,Ale,0.09,NULL
